source,tag,type,id,label,text,context,aria
h13_overlay,button,,btnContinuityRollback,,↩︎ 이전 기록 복원,장기 기록,
h13_overlay,input,checkbox,continuitySensitive,민감한 개인 맥락 포함 허용 기본은 꺼짐. 비밀번호·토큰·금융/신분 식별정보·정확한 집 주소·제3자 비밀은 켜도 저장하지 않습니다.,,민감한 개인 맥락 포함 허용,
h13_overlay,textarea,,continuityInput,,,ChatGPT가 만든 장기 기록 가져오기,Long-term continuity JSON
h13_overlay,button,,btnContinuityInspect,,1. 검사,ChatGPT가 만든 장기 기록 가져오기,
h13_overlay,button,,btnContinuityApply,,2. 확인하고 저장,ChatGPT가 만든 장기 기록 가져오기,
h13_overlay,button,,btnContinuityClear,,장기 기록 삭제,장기 기록,
h13_overlay,button,button,btnLifecyclePostpone,,이번 업데이트 미루기,장기 기억 유지 상태,
h13_overlay,button,button,btnLifecycleNewChatAck,,새 채팅 시작함 · 주기 초기화,장기 기억 유지 상태,
h13_overlay,a,,,,실기기 IndexedDB 진단 열기,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemoryInitialize,,이전 기록 검사,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemoryInitializeApply,,확인하고 장기 기억 활성화,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemorySessionCopy,,1. 기억 포함 세션 프롬프트 복사,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemoryUpdateRequest,,2. 대화 후 기억 정리 요청 복사,장기 기억 컨트롤러,
h13_overlay,textarea,,memoryTransportText,,,장기 기억 컨트롤러,Manual transport text
h13_overlay,textarea,,memoryResponseInput,3. ChatGPT의 기억 정리 응답 붙여넣기,,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemoryInspect,,응답 검사,장기 기억 컨트롤러,
h13_overlay,input,checkbox,memorySensitiveOptIn,민감 항목을 이번 저장에서 명시적으로 허용,,장기 기억 컨트롤러,
h13_overlay,button,button,btnMemoryApply,,4. 확인하고 기억 저장,장기 기억 컨트롤러,
h13_overlay,input,checkbox,recoverySensitiveOptIn,민감 기억 포함 허용 민감 기억이 있는 Standard Backup 생성·복원에만 사용합니다. NEVER STORE 항목은 허용하지 않습니다.,,민감 기억 포함 허용,
h13_overlay,button,button,btnCanonicalBackup,,Standard Recovery Backup 생성,데이터 안전 · Backup / Recovery,
h13_overlay,input,file,canonicalRestoreFile,Standard Backup 선택 · Restore 검사,,데이터 안전 · Backup / Recovery,
h13_overlay,button,button,btnCanonicalRestoreApply,,확인하고 새 revision으로 Restore,데이터 안전 · Backup / Recovery,
h13_overlay,button,button,btnRawRecovery,,Raw Recovery Export,복구 도구 Raw Recovery · 후속 보호 기능,
h13_overlay,select,,rollbackTarget,Forward Rollback 동일 lineage · 동일 purge_epoch의 최근 bounded ancestor만 선택할 수 있습니다.,Rollback 후보 확인 중,Forward Rollback,
h13_overlay,button,button,btnRollbackInspect,,Rollback Preview,Forward Rollback,
h13_overlay,button,button,btnRollbackApply,,확인하고 새 revision으로 Rollback,Forward Rollback,
h13_overlay,input,checkbox,purgeOldBackupAck,이미 내려받은 옛 백업·오프라인 replica는 서버리스 구조에서 원격 폐기할 수 없음을 확인했습니다.,,PURGE,
h13_overlay,button,button,btnPurgeInspect,,PURGE Preview,PURGE,
h13_overlay,button,button,btnPurgeApply,,확인하고 sanitized NEW ROOT 생성,PURGE,
h13_overlay,input,file,replicaTransferFile,Standard Backup 선택 · Transfer / Conflict 검사,,Replica Transfer / Conflict,
h13_overlay,button,button,btnReplicaTransferApply,,검증된 Transfer / Merge 적용,Replica Transfer / Conflict,
h13_overlay,button,button,btnReplicaKeepLocal,,local 유지 · 저장 안 함,Replica Transfer / Conflict,
h13_overlay,button,button,btnReplicaUseIncoming,,incoming 선택 · 새 revision 생성,Replica Transfer / Conflict,
h13_overlay,select,,era,Era,,세부 설정,
h13_overlay,input,number,year_timeslip,Year,,세부 설정,
h13_overlay,select,,scene,Scene,,세부 설정,
h13_overlay,select,,activity,Activity,,세부 설정,
h13_overlay,select,,relationship,Relationship,,세부 설정,
h13_overlay,select,,state,State,,세부 설정,
h13_overlay,select,,language_support,Language,,세부 설정,
h13_overlay,select,,proficiency,Japanese level,,세부 설정,
h13_overlay,select,,learning_mode,Learning mode,,세부 설정,
h13_overlay,select,,immersion,Immersion,,세부 설정,
h13_overlay,select,,support_style,Support,,세부 설정,
h13_overlay,select,,initiative,Initiative,,세부 설정,
h13_overlay,button,,copyBtn,,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,
h13_overlay,a,,openChatgpt,,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,
h13_overlay,textarea,,fallbackPrompt,,,처음 사용하시나요?,Session setup text
h13_overlay,button,,manualCopy,,텍스트 선택해서 복사하기,처음 사용하시나요?,
h13_overlay,button,,btnPrevious,,직전 설정 복원,처음 사용하시나요?,
h13_overlay,button,,btnBackup,,컨트롤러 설정 내보내기,처음 사용하시나요?,
h13_overlay,input,file,restoreFile,컨트롤러 설정 가져오기,,처음 사용하시나요?,
h13_overlay,button,,btnReset,,기본값,처음 사용하시나요?,
