row,source,tag,type,id,historical_item,context,classification,current_evidence,rationale
12,rc1_prototype,select,,sel_activity,#sel_activity,Private Session,PASS-EXPLICIT,HTML L128 / L361,Activity 축이 직접 보존되며 random-recommend도 별도 항목으로 유지됨.
13,rc1_prototype,select,,sel_relationship,#sel_relationship,Private Session,PASS-EXPLICIT,HTML L129 / L362,Relationship 축이 직접 보존됨.
14,rc1_prototype,select,,sel_state,#sel_state,Private Session,PASS-EXPLICIT,HTML L130 / L363,State 축 및 음주/취기 상태 의미가 직접 보존됨.
15,rc1_prototype,select,,sel_language_support,#sel_language_support,Private Session,PASS-EXPLICIT,HTML L131 / L364,대화 언어/언어 지원 축이 직접 보존됨.
16,rc1_prototype,select,,sel_proficiency_mode,#sel_proficiency_mode,Private Session,PASS-EXPLICIT,HTML L135-L138 / L369,기존 proficiency 의미가 현재 일본어 수준 축으로 직접 보존되고 세션 난이도와 분리됨.
17,rc1_prototype,select,,sel_learning_mode,#sel_learning_mode,Private Session,PASS-EXPLICIT,HTML L141 / L367,Learning mode 축이 직접 보존됨.
18,rc1_prototype,select,,sel_immersion,#sel_immersion,Private Session,PASS-EXPLICIT,HTML L142 / L368,Immersion 축이 직접 보존됨.
19,rc1_prototype,select,,sel_support_style,#sel_support_style,Private Session,PASS-EXPLICIT,HTML L132 / L365,Support style 축이 직접 보존됨.
20,rc1_prototype,select,,sel_initiative,#sel_initiative,Private Session,PASS-EXPLICIT,HTML L133 / L366,Initiative 축이 직접 보존됨.
21,rc1_prototype,input,text,difficulty_override,#difficulty_override,Private Session,PASS-SUCCESSOR,"HTML L138, L144 / L370",legacy free-text difficulty override는 Advanced 자유 지정/Advanced·Legacy 경로의 명시적 기능 successor로 보존됨.
22,rc1_prototype,input,text,voice_preference,#voice_preference,Private Session,PASS-SUCCESSOR,HTML L89-L119 / L310-L340,legacy Voice preference는 structured Voice semantics 및 migration source로 명시 보존되는 successor임.
23,rc1_prototype,input,checkbox,private_session,#private_session,Private Session,PASS-EXPLICIT,HTML L149 / L343,Private Session이 Start의 단일 authority로 직접 표시됨.
24,rc1_prototype,button,,btnCopy,세션 명령 복사,고급 설정 · Advanced,PASS-EXPLICIT,HTML L151 / L343,설정/세션 명령 복사 액션이 직접 표시됨.
25,rc1_prototype,button,,btnLaunch,복사하고 ChatGPT 열기,고급 설정 · Advanced,PASS-SUCCESSOR,HTML L151 / L343,rc1의 Copy+Open 단일 액션은 R-01B 결정대로 Copy와 ChatGPT Open 분리 successor로 보존됨.
26,rc1_prototype,button,,btnPreview,명령 미리보기,고급 설정 · Advanced,PASS-EXPLICIT,HTML L151-L152 / L343,세션 명령 미리보기가 상시 접근 액션으로 직접 복원됨.
27,rc1_prototype,button,,btnSavePreset,현재 프리셋 저장,고급 설정 · Advanced,PASS-SUCCESSOR,"HTML L87 / L308, L528",legacy preset 저장은 Favorites 저장/적용 체계와 named preset migration source로 successor 보존됨.
28,rc1_prototype,button,,btnDefaults,기본값으로 복귀,고급 설정 · Advanced,PASS-EXPLICIT,HTML L150 / L343,기본값 복귀 액션이 직접 표시됨.
29,rc1_prototype,button,,btnLast,직전 설정,고급 설정 · Advanced,PASS-EXPLICIT,HTML L150 / L343,직전 설정 복원 액션이 직접 표시됨.
30,rc1_prototype,button,,btnExport,설정 Export,고급 설정 · Advanced,PASS-EXPLICIT,HTML L274 / L453,Controller Settings 내보내기가 직접 버튼으로 존재함.
31,rc1_prototype,input,file,importFile,#importFile,고급 설정 · Advanced,PASS-EXPLICIT,HTML L274-L275 / L453-L454,Controller Settings 가져오기 액션과 Import Safety 경로가 직접 존재함.
32,rc1_prototype,textarea,,promptOutput,#promptOutput,생성된 세션 명령,PASS-ROUTE,HTML L151-L152,생성 명령 Preview 및 selectable textarea/manual-copy fallback 경로가 명시됨.
33,rc9_public,select,,localeSelect,Auto 한국어 日本語 English,처음 사용하시나요?,PASS-EXPLICIT,"HTML L76, L289 / L468",화면 언어 Auto/KO/JA/EN이 직접 보존됨.
34,rc9_public,button,,refreshBtn,새 버전 적용,처음 사용하시나요?,PASS-ROUTE,"HTML L80, L290 / L468",업데이트 알림과 명명된 업데이트 secondary route가 보존됨; row는 해당 route로 귀속됨.
35,rc9_public,button,,gotIt,알겠어요,처음 사용하시나요?,PASS-ROUTE,HTML L290 / L468,first-use/초기 안내가 명명된 secondary route로 보존됨.
36,rc9_public,button,,,💬 수다,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
37,rc9_public,button,,,📞 전화,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
38,rc9_public,button,,,🎀 데이트,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
39,rc9_public,button,,,🥂 술자리,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
40,rc9_public,button,,,📻 라디오,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
41,rc9_public,button,,,🌙 산책,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
42,rc9_public,button,,,🕰️ 타임슬립,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
43,rc9_public,button,,,✏️ 일본어 공부,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
44,rc9_public,button,,,🎲 랜덤,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
45,rc9_public,button,,btnSaveFavorite,⭐ 현재 설정 저장,즐겨찾기,PASS-EXPLICIT,HTML L87 / L308,Favorites 카드에 저장 기능이 직접 명시됨.
46,rc9_public,select,,era,#era,세부 설정,PASS-EXPLICIT,HTML L126 / L359,Era 축과 late_teens/year-timeslip 선택지가 직접 보존됨.
47,rc9_public,input,number,year_timeslip,#year_timeslip,세부 설정,PASS-EXPLICIT,HTML L126 / L359,연도 지정 시 조건부 number input이 모바일·데스크톱에 직접 존재함.
48,rc9_public,select,,scene,#scene,세부 설정,PASS-EXPLICIT,HTML L127 / L360,Scene 축이 직접 보존됨.
49,rc9_public,select,,activity,#activity,세부 설정,PASS-EXPLICIT,HTML L128 / L361,Activity 축이 직접 보존되며 random-recommend도 별도 항목으로 유지됨.
50,rc9_public,select,,relationship,#relationship,세부 설정,PASS-EXPLICIT,HTML L129 / L362,Relationship 축이 직접 보존됨.
51,rc9_public,select,,state,#state,세부 설정,PASS-EXPLICIT,HTML L130 / L363,State 축 및 음주/취기 상태 의미가 직접 보존됨.
52,rc9_public,select,,language_support,#language_support,세부 설정,PASS-EXPLICIT,HTML L131 / L364,대화 언어/언어 지원 축이 직접 보존됨.
53,rc9_public,select,,proficiency,#proficiency,세부 설정,PASS-EXPLICIT,HTML L135-L138 / L369,기존 proficiency 의미가 현재 일본어 수준 축으로 직접 보존되고 세션 난이도와 분리됨.
54,rc9_public,select,,learning_mode,#learning_mode,세부 설정,PASS-EXPLICIT,HTML L141 / L367,Learning mode 축이 직접 보존됨.
55,rc9_public,select,,immersion,#immersion,세부 설정,PASS-EXPLICIT,HTML L142 / L368,Immersion 축이 직접 보존됨.
56,rc9_public,select,,support_style,#support_style,세부 설정,PASS-EXPLICIT,HTML L132 / L365,Support style 축이 직접 보존됨.
57,rc9_public,select,,initiative,#initiative,세부 설정,PASS-EXPLICIT,HTML L133 / L366,Initiative 축이 직접 보존됨.
58,rc9_public,input,checkbox,private_session,#private_session,세부 설정,PASS-EXPLICIT,HTML L149 / L343,Private Session이 Start의 단일 authority로 직접 표시됨.
59,rc9_public,button,,copyBtn,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,설정/세션 명령 복사 액션이 직접 표시됨.
60,rc9_public,a,,openChatgpt,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,ChatGPT 열기 액션이 직접 표시됨.
61,rc9_public,textarea,,fallbackPrompt,#fallbackPrompt,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
62,rc9_public,button,,manualCopy,텍스트 선택해서 복사하기,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
63,rc9_public,button,,btnPrevious,직전 설정 복원,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,직전 설정 복원 액션이 직접 표시됨.
64,rc9_public,button,,btnBackup,내 설정 백업,처음 사용하시나요?,PASS-SUCCESSOR,HTML L274-L275 / L453-L454,legacy “내 설정 백업/복원 파일”은 Canonical Recovery와 분리된 Controller Settings Export/Import successor로 명시됨.
65,rc9_public,input,file,restoreFile,#restoreFile,처음 사용하시나요?,PASS-SUCCESSOR,HTML L274-L275 / L453-L454,legacy “내 설정 백업/복원 파일”은 Canonical Recovery와 분리된 Controller Settings Export/Import successor로 명시됨.
66,rc9_public,button,,btnReset,기본값,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,기본값 복귀 액션이 직접 표시됨.
67,rc10_public,select,,localeSelect,Auto 한국어 日本語 English,처음 사용하시나요?,PASS-EXPLICIT,"HTML L76, L289 / L468",화면 언어 Auto/KO/JA/EN이 직접 보존됨.
68,rc10_public,button,,refreshBtn,새 버전 적용,처음 사용하시나요?,PASS-ROUTE,"HTML L80, L290 / L468",업데이트 알림과 명명된 업데이트 secondary route가 보존됨; row는 해당 route로 귀속됨.
69,rc10_public,button,,gotIt,알겠어요,처음 사용하시나요?,PASS-ROUTE,HTML L290 / L468,first-use/초기 안내가 명명된 secondary route로 보존됨.
70,rc10_public,button,,,💬 수다,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
71,rc10_public,button,,,📞 전화,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
72,rc10_public,button,,,🎀 데이트,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
73,rc10_public,button,,,🥂 술자리,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
74,rc10_public,button,,,📻 라디오,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
75,rc10_public,button,,,🌙 산책,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
76,rc10_public,button,,,🕰️ 타임슬립,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
77,rc10_public,button,,,✏️ 일본어 공부,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
78,rc10_public,button,,,🎲 랜덤,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
79,rc10_public,button,,btnSaveFavorite,⭐ 현재 설정 저장,즐겨찾기,PASS-EXPLICIT,HTML L87 / L308,Favorites 카드에 저장 기능이 직접 명시됨.
80,rc10_public,button,,btnContinuityRequest,🧠 세션 정리 요청 복사,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
81,rc10_public,button,,btnContinuityRollback,↩︎ 이전 기록 복원,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
82,rc10_public,input,checkbox,continuitySensitive,#continuitySensitive,민감한 개인 맥락 포함 허용,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
83,rc10_public,textarea,,continuityInput,#continuityInput,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
84,rc10_public,button,,btnContinuityInspect,1. 검사,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
85,rc10_public,button,,btnContinuityApply,2. 확인하고 저장,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
86,rc10_public,button,,btnContinuityClear,장기 기록 삭제,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
87,rc10_public,select,,era,#era,세부 설정,PASS-EXPLICIT,HTML L126 / L359,Era 축과 late_teens/year-timeslip 선택지가 직접 보존됨.
88,rc10_public,input,number,year_timeslip,#year_timeslip,세부 설정,PASS-EXPLICIT,HTML L126 / L359,연도 지정 시 조건부 number input이 모바일·데스크톱에 직접 존재함.
89,rc10_public,select,,scene,#scene,세부 설정,PASS-EXPLICIT,HTML L127 / L360,Scene 축이 직접 보존됨.
90,rc10_public,select,,activity,#activity,세부 설정,PASS-EXPLICIT,HTML L128 / L361,Activity 축이 직접 보존되며 random-recommend도 별도 항목으로 유지됨.
91,rc10_public,select,,relationship,#relationship,세부 설정,PASS-EXPLICIT,HTML L129 / L362,Relationship 축이 직접 보존됨.
92,rc10_public,select,,state,#state,세부 설정,PASS-EXPLICIT,HTML L130 / L363,State 축 및 음주/취기 상태 의미가 직접 보존됨.
93,rc10_public,select,,language_support,#language_support,세부 설정,PASS-EXPLICIT,HTML L131 / L364,대화 언어/언어 지원 축이 직접 보존됨.
94,rc10_public,select,,proficiency,#proficiency,세부 설정,PASS-EXPLICIT,HTML L135-L138 / L369,기존 proficiency 의미가 현재 일본어 수준 축으로 직접 보존되고 세션 난이도와 분리됨.
95,rc10_public,select,,learning_mode,#learning_mode,세부 설정,PASS-EXPLICIT,HTML L141 / L367,Learning mode 축이 직접 보존됨.
96,rc10_public,select,,immersion,#immersion,세부 설정,PASS-EXPLICIT,HTML L142 / L368,Immersion 축이 직접 보존됨.
97,rc10_public,select,,support_style,#support_style,세부 설정,PASS-EXPLICIT,HTML L132 / L365,Support style 축이 직접 보존됨.
98,rc10_public,select,,initiative,#initiative,세부 설정,PASS-EXPLICIT,HTML L133 / L366,Initiative 축이 직접 보존됨.
99,rc10_public,input,checkbox,private_session,#private_session,세부 설정,PASS-EXPLICIT,HTML L149 / L343,Private Session이 Start의 단일 authority로 직접 표시됨.
100,rc10_public,button,,copyBtn,설정 복사 복사 후 ChatGPT를 열어 붙여넣어요,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,설정/세션 명령 복사 액션이 직접 표시됨.
101,rc10_public,a,,openChatgpt,ChatGPT 열기 열리면 입력창에 붙여넣기,처음 사용하시나요?,PASS-EXPLICIT,HTML L151 / L343,ChatGPT 열기 액션이 직접 표시됨.
102,rc10_public,textarea,,fallbackPrompt,#fallbackPrompt,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
103,rc10_public,button,,manualCopy,텍스트 선택해서 복사하기,처음 사용하시나요?,PASS-ROUTE,HTML L152,Clipboard 실패 시 selectable textarea/manual copy fallback route가 명시됨.
104,rc10_public,button,,btnPrevious,직전 설정 복원,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,직전 설정 복원 액션이 직접 표시됨.
105,rc10_public,button,,btnBackup,내 설정 백업,처음 사용하시나요?,PASS-SUCCESSOR,HTML L274-L275 / L453-L454,legacy “내 설정 백업/복원 파일”은 Canonical Recovery와 분리된 Controller Settings Export/Import successor로 명시됨.
106,rc10_public,input,file,restoreFile,#restoreFile,처음 사용하시나요?,PASS-SUCCESSOR,HTML L274-L275 / L453-L454,legacy “내 설정 백업/복원 파일”은 Canonical Recovery와 분리된 Controller Settings Export/Import successor로 명시됨.
107,rc10_public,button,,btnReset,기본값,처음 사용하시나요?,PASS-EXPLICIT,HTML L150 / L343,기본값 복귀 액션이 직접 표시됨.
108,h13_overlay,select,,localeSelect,Auto 한국어 日本語 English,처음 사용하시나요?,PASS-EXPLICIT,"HTML L76, L289 / L468",화면 언어 Auto/KO/JA/EN이 직접 보존됨.
109,h13_overlay,button,,refreshBtn,새 버전 적용,처음 사용하시나요?,PASS-ROUTE,"HTML L80, L290 / L468",업데이트 알림과 명명된 업데이트 secondary route가 보존됨; row는 해당 route로 귀속됨.
110,h13_overlay,button,,gotIt,알겠어요,처음 사용하시나요?,PASS-ROUTE,HTML L290 / L468,first-use/초기 안내가 명명된 secondary route로 보존됨.
111,h13_overlay,button,,,💬 수다,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
112,h13_overlay,button,,,📞 전화,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
113,h13_overlay,button,,,🎀 데이트,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
114,h13_overlay,button,,,🥂 술자리,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
115,h13_overlay,button,,,📻 라디오,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
116,h13_overlay,button,,,🌙 산책,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
117,h13_overlay,button,,,🕰️ 타임슬립,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
118,h13_overlay,button,,,✏️ 일본어 공부,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
119,h13_overlay,button,,,🎲 랜덤,빠른 시작,PASS-EXPLICIT,HTML L86 / L307,모바일·데스크톱 Quick Start에 동일 기능이 직접 표시됨.
120,h13_overlay,input,checkbox,private_session,#private_session,Persona,PASS-EXPLICIT,HTML L149 / L343,Private Session이 Start의 단일 authority로 직접 표시됨.
121,h13_overlay,button,,btnSaveFavorite,⭐ 현재 설정 저장,즐겨찾기,PASS-EXPLICIT,HTML L87 / L308,Favorites 카드에 저장 기능이 직접 명시됨.
122,h13_overlay,button,,btnContinuityRequest,🧠 세션 정리 요청 복사,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
123,h13_overlay,button,,btnContinuityRollback,↩︎ 이전 기록 복원,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
124,h13_overlay,input,checkbox,continuitySensitive,#continuitySensitive,민감한 개인 맥락 포함 허용,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
125,h13_overlay,textarea,,continuityInput,#continuityInput,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
126,h13_overlay,button,,btnContinuityInspect,1. 검사,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
127,h13_overlay,button,,btnContinuityApply,2. 확인하고 저장,ChatGPT가 만든 장기 기록 가져오기,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
128,h13_overlay,button,,btnContinuityClear,장기 기록 삭제,장기 기록,PASS-ROUTE,HTML L273 / L452,Legacy Continuity/Migration secondary route에 기록·정리요청·이전복원·JSON inspect/preview/apply·Sensitive·삭제가 명시됨.
129,h13_overlay,button,button,btnLifecyclePostpone,이번 업데이트 미루기,장기 기억 유지 상태,PASS-EXPLICIT,HTML L168 / L377,Lifecycle “이번엔 미루기/postpone” 액션이 직접 표시됨.
130,h13_overlay,button,button,btnLifecycleNewChatAck,새 채팅 시작함 · 주기 초기화,장기 기억 유지 상태,PASS-EXPLICIT,HTML L168 / L377,Lifecycle 새 채팅 시작 확인 액션이 직접 표시됨.
131,h13_overlay,a,,,실기기 IndexedDB 진단 열기,장기 기억 컨트롤러,PASS-EXPLICIT,HTML L288 / L467,실기기 IndexedDB 진단 열기 버튼이 모바일·데스크톱에 직접 존재함.
132,h13_overlay,button,button,btnMemoryInitialize,이전 기록 검사,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
133,h13_overlay,button,button,btnMemoryInitializeApply,확인하고 장기 기억 활성화,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
134,h13_overlay,button,button,btnMemorySessionCopy,1. 기억 포함 세션 프롬프트 복사,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
135,h13_overlay,button,button,btnMemoryUpdateRequest,2. 대화 후 기억 정리 요청 복사,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
136,h13_overlay,textarea,,memoryTransportText,#memoryTransportText,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
137,h13_overlay,textarea,,memoryResponseInput,#memoryResponseInput,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
138,h13_overlay,button,button,btnMemoryInspect,응답 검사,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
139,h13_overlay,input,checkbox,memorySensitiveOptIn,#memorySensitiveOptIn,장기 기억 컨트롤러,PASS-EXPLICIT,HTML L170 / L379,Memory Sensitive opt-in이 다른 Sensitive control과 분리되어 직접 표시됨.
140,h13_overlay,button,button,btnMemoryApply,4. 확인하고 기억 저장,장기 기억 컨트롤러,PASS-ROUTE,HTML L168-L170 / L377-L379,Canonical Memory Controller / handoff + Correction Sandbox의 명명된 secondary flow에 해당 단계가 보존됨.
141,h13_overlay,input,checkbox,recoverySensitiveOptIn,#recoverySensitiveOptIn,민감 기억 포함 허용,PASS-EXPLICIT,HTML L175 / L384,Recovery Backup Sensitive opt-in이 직접 표시되고 다른 Sensitive controls와 분리됨.
142,h13_overlay,button,button,btnCanonicalBackup,Standard Recovery Backup 생성,데이터 안전 · Backup / Recovery,PASS-ROUTE,HTML L175 / L384,Standard Recovery Backup이 Data Safety의 명명된 secondary route로 유지됨.
143,h13_overlay,input,file,canonicalRestoreFile,#canonicalRestoreFile,데이터 안전 · Backup / Recovery,PASS-EXPLICIT,HTML L177-L182 / L386-L390,Canonical Restore 파일 선택 input이 직접 존재함.
144,h13_overlay,button,button,btnCanonicalRestoreApply,확인하고 새 revision으로 Restore,데이터 안전 · Backup / Recovery,PASS-EXPLICIT,HTML L194-L203 / L393-L401,Preview→명시 승인→staging→새 forward revision→read-back 확정 경로가 직접 명시되어 apply-as-new-revision을 닫음.
145,h13_overlay,button,button,btnRawRecovery,Raw Recovery Export,복구 도구 Raw Recovery · 후속 보호 기능,PASS-ROUTE,HTML L175 / L384,Raw Recovery가 Data Safety secondary route로 명시됨.
146,h13_overlay,select,,rollbackTarget,Rollback 후보 확인 중,Forward Rollback,PASS-EXPLICIT,HTML L213-L214 / L411,Rollback target select가 직접 존재하고 revision_id authority가 명시됨.
147,h13_overlay,button,button,btnRollbackInspect,Rollback Preview,Forward Rollback,PASS-EXPLICIT,HTML L215-L230 / L412-L422,Rollback 검사/Preview 액션이 직접 존재함.
148,h13_overlay,button,button,btnRollbackApply,확인하고 새 revision으로 Rollback,Forward Rollback,PASS-EXPLICIT,HTML L224-L235 / L414-L422,명시 승인 후 과거 payload를 source로 새 forward revision 생성·read-back 확정이 직접 명시됨.
